9.609073712145734802e-01,9.464246442521250247e-01,9.177638546489590432e-01,8.696384899516379496e-01,7.927793264559388486e-01
1.001495643220348120e+00,9.879472883218631818e-01,9.570683104602434321e-01,8.971835096432785317e-01,7.997909192711216697e-01
9.612736484420605354e-01,9.552162026659207772e-01,9.399168006695308719e-01,9.016963051700782605e-01,8.230332970407557847e-01
9.762920833050486857e-01,9.622696549079723383e-01,9.324091965070078203e-01,8.782547914454090776e-01,7.910749624459830764e-01
9.027281638182076406e-01,9.043443168191708237e-01,9.044870501977555488e-01,8.869622964600689663e-01,8.266959456855653698e-01
9.995824612761675665e-01,9.812116231087982809e-01,9.433317321543345235e-01,8.783131156979552268e-01,7.803729971642306973e-01
9.724065972660489443e-01,9.599654199108013097e-01,9.348518082001661123e-01,8.905212771513842940e-01,8.158422462224214078e-01
9.879481676451957739e-01,9.731702193554139235e-01,9.417726288042418403e-01,8.851171011228957664e-01,7.957711147445053479e-01
1.028755511321469474e+00,1.018756624670596800e+00,9.962115182011639369e-01,9.497861114782794045e-01,8.656106347670311507e-01
9.350015851187881699e-01,9.360042724228492261e-01,9.314164286783740421e-01,9.009468070155740582e-01,8.213682484598345823e-01
1.014145563095331326e+00,9.951178735619855553e-01,9.572237598293992233e-01,8.945710697822529811e-01,8.014767757076988186e-01
9.749848580936731901e-01,9.600074989657376712e-01,9.278685947857858718e-01,8.692690022016750229e-01,7.777943897572813237e-01
9.708393544223498095e-01,9.575793557320056992e-01,9.302781819572839561e-01,8.813370505957248691e-01,8.013727093479553476e-01
8.845125191688287813e-01,8.889633698981073140e-01,8.926475068479643449e-01,8.767930998861757086e-01,8.153814904663289065e-01
9.504280827033206869e-01,9.493098312270579209e-01,9.402612495538195114e-01,9.040497554947978243e-01,8.193961967605849495e-01
9.845655896259078999e-01,9.675384738681440666e-01,9.312638466950301508e-01,8.668537325395887505e-01,7.707830982022060295e-01
